IS	232	255	255	0	0
IS	233	259	259	0	0
IS	234	244	244	0	0
IS	235	260	260	0	0
IS	236	226	226	0	0
IS	237	235	235	0	0
IS	238	243	243	0	0
IS	239	248	248	0	0
IS	240	222	222	0	0
IS	241	227	227	0	0
IS	242	231	231	0	0
IS	243	229	229	0	0
IS	244	250	250	0	0
IS	245	189	189	0	0
IS	246	236	236	0	0
IS	247	228	228	0	0
IS	248	233	233	0	0
IS	249	205	205	0	0
IS	250	186	186	0	0
IS	251	189	189	0	0
IS	252	155	155	0	0
IS	253	199	199	0	0
IS	254	189	189	0	0
IS	255	190	190	0	0
IS	256	167	167	0	0
IS	257	172	172	0	0
IS	258	178	178	0	0
IS	259	132	132	0	0
IS	260	153	153	0	0
IS	261	170	170	0	0
IS	262	155	155	0	0
IS	263	125	125	0	0
IS	264	130	130	0	0
IS	265	153	153	0	0
IS	266	157	157	0	0
IS	267	155	155	0	0
IS	268	128	127	1	0
IS	269	129	129	0	0
IS	270	144	144	0	0
IS	271	110	110	0	0
IS	272	130	130	0	0
IS	273	137	137	0	0
IS	274	124	124	0	0
IS	275	122	122	0	0
IS	276	101	101	0	0
IS	277	119	119	0	0
IS	278	119	119	0	0
IS	279	100	100	0	0
IS	280	113	113	0	0
IS	281	93	93	0	0
IS	282	96	96	0	0
IS	283	99	99	0	0
IS	284	88	88	0	0
IS	285	93	93	0	0
IS	286	85	85	0	0
IS	287	95	95	0	0
IS	288	78	78	0	0
IS	289	85	85	0	0
IS	290	72	72	0	0
IS	291	84	84	0	0
IS	292	76	76	0	0
IS	293	78	78	0	0
IS	294	59	59	0	0
IS	295	64	64	0	0
IS	296	58	58	0	0
IS	297	57	57	0	0
IS	298	55	55	0	0
IS	299	51	51	0	0
IS	300	63	63	0	0
IS	301	47	47	0	0
IS	302	48	48	0	0
IS	303	39	39	0	0
IS	304	32	32	0	0
IS	305	39	39	0	0
IS	306	29	29	0	0
IS	307	37	37	0	0
IS	308	29	29	0	0
IS	309	36	36	0	0
IS	310	36	36	0	0
IS	311	27	27	0	0
IS	312	14	14	0	0
IS	313	23	23	0	0
IS	314	18	18	0	0
IS	315	20	20	0	0
IS	316	12	12	0	0
IS	317	10	10	0	0
IS	318	19	19	0	0
IS	319	10	10	0	0
IS	320	16	16	0	0
IS	321	19	19	0	0
IS	322	12	12	0	0
IS	323	10	10	0	0
IS	324	25	25	0	0
IS	325	11	11	0	0
IS	326	14	14	0	0
IS	327	11	11	0	0
IS	328	17	17	0	0
IS	329	10	10	0	0
IS	330	13	13	0	0
IS	331	16	16	0	0
IS	332	21	21	0	0
IS	333	8	8	0	0
IS	334	18	18	0	0
IS	335	15	15	0	0
IS	336	17	17	0	0
IS	337	15	15	0	0
IS	338	13	13	0	0
IS	339	18	18	0	0
IS	340	19	18	1	0
IS	341	12	12	0	0
IS	342	15	15	0	0
IS	343	14	14	0	0
IS	344	22	22	0	0
IS	345	10	10	0	0
IS	346	18	18	0	0
IS	347	20	20	0	0
IS	348	28	28	0	0
IS	349	20	20	0	0
IS	350	23	23	0	0
IS	351	43	43	0	0
IS	352	32	32	0	0
IS	353	30	30	0	0
IS	354	36	36	0	0
IS	355	41	41	0	0
IS	356	39	39	0	0
IS	357	40	40	0	0
IS	358	46	46	0	0
IS	359	52	52	0	0
IS	360	51	51	0	0
IS	361	46	46	0	0
IS	362	52	52	0	0
IS	363	66	66	0	0
IS	364	68	68	0	0
IS	365	63	63	0	0
IS	366	84	84	0	0
IS	367	81	81	0	0
IS	368	91	91	0	0
IS	369	101	101	0	0
IS	370	98	97	0	1
IS	371	112	112	0	0
IS	372	97	97	0	0
IS	373	145	145	0	0
IS	374	125	125	0	0
IS	375	144	144	0	0
IS	376	149	149	0	0
IS	377	167	167	0	0
IS	378	149	149	0	0
IS	379	219	219	0	0
IS	380	193	193	0	0
IS	381	206	206	0	0
IS	382	216	216	0	0
IS	383	252	252	0	0
IS	384	203	203	0	0
IS	385	266	266	0	0
IS	386	293	293	0	0
IS	387	256	256	0	0
IS	388	284	284	0	0
IS	389	275	275	0	0
IS	390	324	324	0	0
IS	391	285	285	0	0
IS	392	338	338	0	0
IS	393	331	331	0	0
IS	394	336	336	0	0
IS	395	319	319	0	0
IS	396	344	344	0	0
IS	397	301	301	0	0
IS	398	367	367	0	0
IS	399	338	338	0	0
IS	400	332	332	0	0
IS	401	358	358	0	0
IS	402	354	354	0	0
IS	403	353	353	0	0
IS	404	356	356	0	0
IS	405	355	355	0	0
IS	406	329	329	0	0
IS	407	368	368	0	0
IS	408	399	399	0	0
IS	409	367	367	0	0
IS	410	376	376	0	0
IS	411	393	393	0	0
IS	412	382	382	0	0
IS	413	382	382	0	0
IS	414	372	372	0	0
IS	415	360	360	0	0
IS	416	399	399	0	0
IS	417	412	412	0	0
IS	418	354	354	0	0
IS	419	368	368	0	0
IS	420	401	401	0	0
IS	421	364	364	0	0
IS	422	386	386	0	0
IS	423	346	346	0	0
IS	424	390	390	0	0
IS	425	391	391	0	0
IS	426	408	408	0	0
IS	427	388	388	0	0
IS	428	381	381	0	0
IS	429	396	396	0	0
IS	430	398	398	0	0
IS	431	390	390	0	0
IS	432	393	393	0	0
IS	433	373	373	0	0
IS	434	369	369	0	0
IS	435	388	388	0	0
IS	436	378	378	0	0
IS	437	346	346	0	0
IS	438	359	359	0	0
IS	439	377	377	0	0
IS	440	362	362	0	0
IS	441	361	361	0	0
IS	442	321	321	0	0
IS	443	335	335	0	0
IS	444	308	308	0	0
IS	445	330	330	0	0
IS	446	326	326	0	0
IS	447	296	296	0	0
IS	448	352	352	0	0
IS	449	341	341	0	0
IS	450	299	299	0	0
IS	451	323	323	0	0
IS	452	307	307	0	0
IS	453	277	277	0	0
IS	454	245	245	0	0
IS	455	279	279	0	0
IS	456	251	251	0	0
IS	457	227	227	0	0
IS	458	223	223	0	0
IS	459	220	220	0	0
IS	460	251	251	0	0
IS	461	228	228	0	0
IS	462	201	201	0	0
IS	463	182	182	0	0
IS	464	190	190	0	0
IS	465	177	177	0	0
IS	466	157	157	0	0
IS	467	160	160	0	0
IS	468	165	165	0	0
IS	469	155	155	0	0
IS	470	133	133	0	0
IS	471	127	127	0	0
IS	472	136	136	0	0
IS	473	117	117	0	0
IS	474	119	119	0	0
IS	475	98	98	0	0
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	37	275523
RL	108	71844
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	37	138286
FRL	108	36125
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
LRL	37	137237
LRL	108	35719
# Mapping qualities for reads !(UNMAP|SECOND|SUPPL|QCFAIL|DUP). Use `grep ^MAPQ | cut -f 2-` to extract this part. The columns are: mapq, count
MAPQ	0	17496
MAPQ	1	13
MAPQ	2	22
MAPQ	3	225
MAPQ	4	15
MAPQ	5	26
MAPQ	6	12
MAPQ	7	76
MAPQ	8	35
MAPQ	9	3563
MAPQ	10	72
MAPQ	11	4
MAPQ	12	115
MAPQ	13	14
MAPQ	14	10
MAPQ	15	440
MAPQ	16	6
MAPQ	17	13
MAPQ	18	8
MAPQ	19	27
MAPQ	20	12
MAPQ	21	1
MAPQ	22	198
MAPQ	23	6782
MAPQ	25	6492
MAPQ	29	9784
MAPQ	30	1
MAPQ	33	6
MAPQ	35	25
MAPQ	36	1333
MAPQ	37	32402
MAPQ	39	42
MAPQ	46	2391
MAPQ	47	55
MAPQ	48	1130
MAPQ	50	2333
MAPQ	56	1
MAPQ	58	4
MAPQ	60	235241
MAPQ	70	329
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	1118	1048
ID	2	222	282
ID	3	75	78
ID	4	67	95
ID	5	9	15
ID	6	11	22
ID	7	8	13
ID	8	15	23
ID	9	8	3
ID	10	4	13
ID	11	1	3
ID	12	2	3
ID	13	0	8
ID	14	1	5
ID	15	0	1
ID	16	2	2
ID	17	1	3
ID	18	1	1
ID	20	0	1
ID	22	0	1
ID	23	0	2
ID	24	0	1
ID	26	0	1
ID	28	0	1
ID	31	0	1
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	1	12	5	4	8
IC	2	3	0	4	9
IC	3	6	1	6	4
IC	4	5	1	14	5
IC	5	4	6	12	10
IC	6	5	9	9	12
IC	7	8	11	15	11
IC	8	6	12	12	12
IC	9	7	7	17	11
IC	10	12	11	10	10
IC	11	3	7	9	17
IC	12	9	16	8	8
IC	13	8	13	4	11
IC	14	8	6	12	8
IC	15	7	13	10	17
IC	16	10	14	11	16
IC	17	15	14	12	11
IC	18	8	13	17	19
IC	19	11	11	11	17
IC	20	12	12	17	13
IC	21	11	19	13	23
IC	22	9	15	7	21
IC	23	10	10	9	15
IC	24	10	13	8	14
IC	25	19	14	14	21
IC	26	10	17	9	16
IC	27	16	10	7	22
IC	28	13	11	19	17
IC	29	14	24	10	18
IC	30	22	18	13	21
IC	31	24	15	9	11
IC	32	18	22	7	13
IC	33	13	18	13	8
IC	34	12	11	15	13
IC	35	10	10	8	5
IC	36	6	12	9	7
IC	37	14	9	5	8
IC	38	2	2	5	7
IC	39	4	2	4	8
IC	40	8	5	5	6
IC	41	7	2	4	7
IC	42	8	8	8	5
IC	43	8	7	3	4
IC	44	9	4	6	5
IC	45	1	10	8	4
IC	46	8	6	8	7
IC	47	2	8	0	6
IC	48	7	4	2	7
IC	49	6	5	3	8
IC	50	8	4	3	10
IC	51	4	5	4	6
IC	52	5	5	5	4
IC	53	7	8	4	6
IC	54	2	6	10	6
IC	55	4	4	3	6
IC	56	4	6	4	6
IC	57	5	16	7	5
IC	58	5	6	4	12
IC	59	4	6	1	10
IC	60	7	3	10	9
IC	61	2	5	9	4
IC	62	4	7	5	10
IC	63	4	8	5	8
IC	64	7	9	3	6
IC	65	6	5	5	8
IC	66	3	5	8	8
IC	67	4	5	8	12
IC	68	4	5	3	6
IC	69	4	10	5	13
IC	70	2	12	5	5
IC	71	4	6	2	6
IC	72	2	4	8	12
IC	73	5	12	3	11
IC	74	7	7	6	6
IC	75	4	4	7	3
IC	76	6	8	3	6
IC	77	2	7	6	7
IC	78	3	4	3	3
IC	79	3	11	9	11
IC	80	4	3	1	4
IC	81	8	8	5	5
IC	82	4	8	4	7
IC	83	0	8	7	6
IC	84	1	7	5	8
IC	85	4	6	2	5
IC	86	5	7	4	2
IC	87	3	9	4	7
IC	88	3	6	2	8
IC	89	4	7	3	7
IC	90	3	6	2	8
IC	91	3	5	5	4
IC	92	3	10	4	7
IC	93	4	3	2	11
IC	94	3	8	4	6
IC	95	3	8	5	8
IC	96	6	9	1	2
IC	97	7	7	2	7
IC	98	4	4	5	9
IC	99	4	5	5	9
IC	100	4	8	4	5
IC	101	1	2	5	1
IC	102	1	4	4	4
IC	103	0	7	3	3
IC	104	2	5	2	3
IC	105	0	3	1	2
IC	106	1	4	1	1
IC	107	1	1	1	0
IC	108	4	0	0	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[1-1]	1	703403
COV	[2-2]	2	973043
COV	[3-3]	3	980843
COV	[4-4]	4	800492
COV	[5-5]	5	548664
COV	[6-6]	6	334899
COV	[7-7]	7	181808
COV	[8-8]	8	90635
COV	[9-9]	9	41985
COV	[10-10]	10	19120
COV	[11-11]	11	8418
COV	[12-12]	12	3729
COV	[13-13]	13	1932
COV	[14-14]	14	906
COV	[15-15]	15	423
COV	[16-16]	16	302
COV	[17-17]	17	237
COV	[18-18]	18	160
COV	[19-19]	19	140
COV	[20-20]	20	73
COV	[21-21]	21	64
COV	[22-22]	22	41
COV	[23-23]	23	43
COV	[24-24]	24	32
COV	[25-25]	25	16
COV	[26-26]	26	13
COV	[27-27]	27	22
COV	[28-28]	28	10
COV	[29-29]	29	8
COV	[30-30]	30	18
COV	[31-31]	31	49
COV	[32-32]	32	19
COV	[33-33]	33	20
COV	[34-34]	34	8
COV	[35-35]	35	13
COV	[36-36]	36	7
COV	[37-37]	37	9
COV	[38-38]	38	4
COV	[39-39]	39	5
COV	[40-40]	40	7
COV	[41-41]	41	6
COV	[42-42]	42	3
COV	[43-43]	43	9
COV	[44-44]	44	7
COV	[45-45]	45	6
COV	[46-46]	46	7
COV	[47-47]	47	6
COV	[48-48]	48	1
COV	[49-49]	49	3
COV	[50-50]	50	3
COV	[51-51]	51	2
COV	[52-52]	52	5
COV	[53-53]	53	1
COV	[54-54]	54	5
COV	[55-55]	55	7
COV	[56-56]	56	23
COV	[58-58]	58	1
COV	[60-60]	60	1
COV	[63-63]	63	1
COV	[65-65]	65	1
COV	[66-66]	66	1
COV	[72-72]	72	1
COV	[76-76]	76	1
COV	[78-78]	78	1
COV	[80-80]	80	1
COV	[85-85]	85	1
COV	[88-88]	88	1
COV	[92-92]	92	1
COV	[102-102]	102	1
COV	[108-108]	108	1
COV	[111-111]	111	1
COV	[112-112]	112	1
COV	[125-125]	125	1
COV	[127-127]	127	1
COV	[132-132]	132	1
COV	[137-137]	137	1
COV	[144-144]	144	1
COV	[148-148]	148	1
COV	[153-153]	153	1
COV	[158-158]	158	1
COV	[160-160]	160	1
COV	[161-161]	161	1
COV	[162-162]	162	1
COV	[171-171]	171	1
COV	[172-172]	172	1
COV	[174-174]	174	1
COV	[178-178]	178	1
COV	[181-181]	181	1
COV	[184-184]	184	1
COV	[188-188]	188	1
COV	[191-191]	191	1
COV	[194-194]	194	1
COV	[197-197]	197	1
COV	[198-198]	198	2
COV	[200-200]	200	1
COV	[202-202]	202	1
COV	[203-203]	203	1
COV	[204-204]	204	1
COV	[206-206]	206	1
COV	[208-208]	208	1
COV	[210-210]	210	1
COV	[214-214]	214	1
COV	[216-216]	216	1
COV	[218-218]	218	1
COV	[221-221]	221	1
COV	[229-229]	229	1
COV	[231-231]	231	1
COV	[232-232]	232	1
# GC-depth. Use `grep ^GCD | cut -f 2-` to extract this part. The columns are: GC%, unique sequence percentiles, 10th, 25th, 50th, 75th and 90th depth percentile
GCD	0.0	0.797	0.000	0.000	0.000	0.000	0.000
GCD	35.0	1.195	3.375	3.375	3.375	3.375	3.375
GCD	36.0	1.594	3.564	3.564	3.564	3.564	3.564
GCD	37.0	3.586	3.313	3.370	3.639	3.723	3.773
GCD	38.0	6.375	1.561	3.582	3.752	3.845	4.174
GCD	39.0	10.359	3.251	3.462	3.654	3.857	3.924
GCD	40.0	12.749	3.362	3.383	3.565	3.774	4.171
GCD	41.0	18.725	3.240	3.393	3.440	3.525	3.902
GCD	42.0	22.709	3.190	3.394	3.592	3.885	4.020
GCD	43.0	26.693	1.705	3.192	3.288	3.708	3.977
GCD	44.0	31.873	2.193	3.369	3.512	3.752	3.815
GCD	45.0	39.442	3.220	3.403	3.566	3.719	3.796
GCD	46.0	48.606	2.800	3.303	3.354	3.509	3.600
GCD	47.0	56.175	3.057	3.171	3.396	3.566	3.786
GCD	48.0	66.932	3.111	3.241	3.354	3.538	3.820
GCD	49.0	74.900	3.127	3.212	3.397	3.559	3.692
GCD	50.0	83.267	2.989	3.065	3.155	3.279	3.358
GCD	51.0	89.243	2.975	3.065	3.212	3.336	3.479
GCD	52.0	92.430	3.031	3.062	3.117	3.369	3.597
GCD	53.0	96.414	2.699	2.818	2.998	3.119	3.802
GCD	54.0	97.610	2.801	2.801	3.086	3.241	3.241
GCD	55.0	98.805	2.672	2.672	2.757	2.905	2.905
GCD	56.0	99.602	2.465	2.465	2.641	2.817	2.817
GCD	57.0	100.000	2.657	2.657	2.657	2.657	2.657
