FFQ	62	26	2	59	121	192	65	112	103	105	55	132	119	98	184	44	75	174	69	227	146	194	119	344	405	385	632	474	788	752	1697	2155	3798	7777	9824	4408	175	17	18	22	15	18	0
FFQ	63	25	1	42	138	192	63	108	92	92	66	146	125	86	154	25	119	197	114	217	150	176	161	335	411	434	589	562	851	735	2091	2025	3691	7707	9675	4006	422	34	27	12	23	6	0
FFQ	64	34	0	52	157	200	87	104	86	89	55	153	153	64	142	79	143	136	176	197	155	212	227	325	395	463	544	477	561	1072	1545	2428	3794	8733	8243	3990	826	13	14	1	0	0	0
FFQ	65	33	0	47	183	190	90	89	110	116	71	148	122	119	149	112	109	166	192	205	126	216	218	401	340	476	601	549	744	1232	1270	3222	3425	8377	8359	3498	763	15	17	7	8	10	0
FFQ	66	30	1	61	140	232	69	87	95	123	149	75	141	133	83	174	74	130	222	99	262	130	185	307	525	351	616	521	732	889	1386	2146	3181	7386	9553	5245	558	24	8	2	0	0	0
FFQ	67	33	0	53	162	235	56	90	119	97	105	111	157	92	188	76	125	201	80	319	128	231	169	361	438	412	642	455	633	1192	1288	2333	4029	7066	8928	4766	715	20	15	4	1	0	0
FFQ	68	38	0	54	189	255	89	105	108	110	104	151	172	94	214	90	113	224	89	290	109	277	148	354	411	439	725	479	818	1072	1350	2159	3863	7995	8588	3999	770	41	22	3	8	6	0
FFQ	69	31	2	67	178	285	114	120	124	77	105	198	131	88	247	90	155	195	63	319	142	202	268	486	327	481	669	696	580	1193	1327	2676	4055	8129	8525	3513	248	7	7	5	0	0	0
FFQ	70	35	1	73	200	262	105	124	95	123	116	187	191	85	186	104	199	184	180	202	184	280	231	531	394	352	914	491	902	1069	1409	3007	3877	8146	8037	2972	621	26	10	11	8	1	0
FFQ	71	29	0	72	159	311	75	106	136	116	140	105	168	172	100	165	127	150	240	98	364	154	333	133	433	646	426	696	611	963	1379	2738	3839	7104	8408	4573	827	10	11	8	0	0	0
FFQ	72	50	1	87	192	338	69	153	110	161	119	169	184	147	187	85	167	206	158	217	256	233	159	299	570	586	564	507	781	839	1856	2640	4429	7048	8188	3835	485	15	21	13	1	0	0
FFQ	73	48	0	63	272	302	97	144	140	146	116	204	186	124	271	85	172	252	168	330	119	289	142	404	607	380	809	668	580	1122	1736	2570	4323	7111	7711	3801	614	11	4	2	2	0	0
FFQ	74	49	0	77	262	303	116	132	142	164	133	195	169	113	318	91	120	212	181	357	154	323	94	485	636	543	681	541	734	1304	1795	2667	4516	7406	7474	2983	589	24	18	10	4	10	0
FFQ	75	54	1	66	301	321	117	162	140	178	162	226	166	115	295	140	182	256	138	340	149	317	224	465	515	554	842	507	524	1495	1721	2712	4444	7273	6971	3221	781	24	19	5	2	0	0
